,D1,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24
D1,0.0,17.263420426284476,10.620112225800977,6.377812415084213,16.597096681616406,10.62338752312796,9.731251151791838,15.429085282045877,10.64602426851911,15.241839947496379,21.831279908492267,17.092296595110817,5.941858562512233,12.492349984198519,4.004793527294689,16.812221713040714,21.207329548045415,14.53345249860812,10.188292415824405,12.205138650907925,3.5281231350739954,14.29786286213656,15.053471575952718,4.311176740270232,18.68928467128956
C1,17.263420426284476,0.0,10.322814985898003,12.435523737861569,0.8078637230048219,9.196379499125905,7.538292214730387,13.96360457350508,9.92238597841092,6.409175022838555,4.609612430563691,8.794027281467653,17.622635324885128,5.371276788616441,14.454438072482203,0.8615684580132217,4.724279663311786,3.476049115207694,7.092581307365218,13.205040599600478,16.72556000701965,18.462353843832442,3.336191948675149,14.966717222666679,3.7909394730975094
C2,10.620112225800977,10.322814985898003,0.0,4.243270460817896,9.515204630373171,10.79791024718779,5.7726280653737785,6.019353698053916,11.516199456791085,12.724237362296769,14.597334644458737,15.601874665423905,8.15246557312199,5.195496186145819,6.6575295123645155,9.530362771680112,15.044116449890467,9.673893936479129,6.4562314038997926,3.5015958186135885,8.3111987455328,8.635293975073184,7.049442568542051,6.6399216392612415,13.494877807910223
C3,6.377812415084213,12.435523737861569,4.243270460817896,0.0,11.666745063948436,9.313469234438601,5.481995228895285,9.508710449322496,9.823577584647452,12.696992300735097,17.015040053572623,15.286581892895276,5.253622757275113,7.125942715267964,2.4566863806215244,11.797188624013229,16.927647876718268,10.590887468558796,6.213099951032782,6.347267419037457,4.441773750024401,10.03015073756537,9.613628320380952,2.651673702833958,14.831801263397713
C4,16.597096681616406,0.8078637230048219,9.515204630373171,11.666745063948436,0.0,8.89189116486143,6.8659937168462575,13.232155601647937,9.64790578707437,6.5267868350285525,5.3527776768462045,9.073133285053482,16.840220173366728,4.580074022660579,13.716175388268164,0.344386542832952,5.530599134157244,3.263197596096576,6.46340941980488,12.413402429108668,15.97877313484611,17.677366488016926,2.546302842699072,14.213526458042786,4.440561098745431
C5,10.62338752312796,9.196379499125905,10.79791024718779,9.313469234438601,8.89189116486143,0.0,5.087179170084463,16.708477596925313,0.8306920972569446,4.780718576769877,13.048684153592456,6.495217280880512,13.892170380407942,7.510915278956003,9.827494677819042,9.222168103555935,11.728124164886822,5.726431825842678,4.528860829975968,14.243740133347346,11.899915077207561,18.971280287280162,8.995732832213962,10.653321097957797,8.963696681895462
C6,9.731251151791838,7.538292214730387,5.7726280653737785,5.481995228895285,6.8659937168462575,5.087179170084463,0.0,11.62436794215551,5.852061876546393,7.3385332260434435,12.126862274536803,10.084563041797479,10.699324574226186,3.1885845041666796,7.092437856172844,7.0854292480610175,11.702029050912888,5.16202792256357,0.7595385644566749,9.262146122700777,9.39525599520611,14.209110633481695,5.555651085207311,7.717206915329166,9.431766917842989
C7,15.429085282045877,13.96360457350508,6.019353698053916,9.508710449322496,13.232155601647937,16.708477596925313,11.62436794215551,0.0,17.456561718034827,17.98438880944624,17.32120394233392,20.90901008413185,10.97090576750229,10.059619047485826,11.501028296982653,13.10214472664427,18.461363448623697,14.54156450144398,12.23711090941149,3.226134072426038,12.32870529994937,5.457153682653596,10.754154160944312,11.119545264280708,17.645017887768347
C8,10.64602426851911,9.92238597841092,11.516199456791085,9.823577584647452,9.64790578707437,0.8306920972569446,5.852061876546393,17.456561718034827,0.0,5.107753726597648,13.662458427537885,6.463300683974288,14.235874982029921,8.33825530083954,10.160982038130376,9.9814912917025,12.252082570512231,6.446390627544688,5.3228761444609205,14.938723459910072,12.15710622750883,19.592579748311646,9.816610544731516,11.0006580715763,9.471780160564057
C9,15.241839947496379,6.409175022838555,12.724237362296769,12.696992300735097,6.5267868350285525,4.780718576769877,7.3385332260434435,17.98438880944624,5.107753726597648,0.0,9.093918178188588,2.9246564281202887,17.754503025966113,7.9249289403901875,13.829636972875129,6.860195730764096,7.368323912279046,3.6508944002119907,6.5790539511349575,16.18622797002107,16.0582375588612,21.34892050711909,7.9712591687972525,14.58683452954365,4.606873263665039
C10,21.831279908492267,4.609612430563691,14.597334644458737,17.015040053572623,5.3527776768462045,13.048684153592456,12.126862274536803,17.32120394233392,13.662458427537885,9.093918178188588,0.0,10.429528767004445,22.16630986152246,9.904472960039866,19.062542757518152,5.2204494605886085,2.3251633476356974,7.529355565710476,11.643288078282193,17.144948313446733,21.32990615625672,22.26185680147884,7.576732771797798,19.56618220733929,4.562737302644927
C11,17.092296595110817,8.794027281467653,15.601874665423905,15.286581892895276,9.073133285053482,6.495217280880512,10.084563041797479,20.90901008413185,6.463300683974288,2.9246564281202887,10.429528767004445,0.0,20.192596477358173,10.849585049609923,16.1780260538035,9.38487573924694,8.31104478486708,6.503407011910865,9.329566908432472,19.078247171095693,18.327638130668504,24.208652624336434,10.784128496349918,16.9747635928105,5.944248417948398
C12,5.941858562512233,17.622635324885128,8.15246557312199,5.253622757275113,16.840220173366728,13.892170380407942,10.699324574226186,10.97090576750229,14.235874982029921,17.754503025966113,22.16630986152246,20.192596477358173,0.0,12.26445503873702,4.074998366892554,16.948326198088196,22.165386926694833,15.836500159909457,11.409943460205096,7.995996879255996,2.5017433712822283,8.602439893716676,14.656486182989312,3.2390942982689395,20.08402731649889
