,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30
D1,0.0,23.988358838178744,6.703733748601222,3.540316093988652,17.059423956683826,12.061419131918619,14.355015782790085,8.52967006737673,2.2345978389372716,22.417663541628123,10.020121740995846,19.602398863908366,8.505443088430262,4.818200484094319,4.706295885830291,2.553861593461,17.67630565760455,21.60429018206321,21.789573162378044,18.03021625399639,5.942871718474864,7.715971771392504,8.259177049251312,18.302698530024195,17.96402871173554,11.700621209283995,11.66213823780742,10.676152998138308,5.853924956357179,9.85692610720318,14.612261424558524,8.405595668227175,5.420199760526405,5.198224093545793,17.057486139450862,13.75874273539739,16.849491896160547,13.196924337169694,2.3213256655651726,23.90875708338302,19.52598064037143,4.117115595605593
D2,23.988358838178744,0.0,29.602994074877213,21.144437480046516,8.529865378150138,12.78057640009881,9.641787336462093,15.853902412656154,22.251176036916494,1.585393084717427,14.26851503826498,5.0101600533448165,16.347159649959558,19.31094356043305,21.311347479126294,25.690446055389828,6.345437025910497,4.9953802173753035,5.917732293921598,6.8196083147335465,20.992512138510307,16.950468535799928,20.393638708024866,6.0642612216870555,9.589918420465706,16.032287737268238,15.280072427647479,17.13355609506686,18.71526038563974,14.618669392279394,9.421967805001785,15.667232194404576,25.29426277160709,24.462339003828184,7.377933201197366,10.315846032670912,8.841695740426253,10.910488047958086,25.660497335361413,3.5572222967088103,11.298713342550904,21.91478707533673
D3,6.703733748601222,29.602994074877213,0.0,8.529555090606435,23.3727394304265,18.455857084764123,20.040080111229376,14.928352901676044,8.938331587480612,28.07789580582951,16.296719733009912,25.5889243702282,15.061269655602588,11.259642038281758,11.335617282583112,4.257046187964609,23.267454782200655,27.777354551351127,28.066173120158446,24.15038027067008,12.52223018396506,14.258844938207158,10.437275548159189,23.64933859919502,24.464434031909715,18.402953678297205,18.34296832464522,17.377062197116853,12.45420085492339,16.2323786471493,20.206367947816126,14.032091651080403,4.789023866466197,5.537800467668449,23.10324173514355,19.299651370496534,23.189903193085645,18.699364253834677,4.421619728121933,28.984780305122076,26.16095448073528,7.7014537018472975
D4,3.540316093988652,21.144437480046516,8.529555090606435,0.0,14.928500903554367,10.125013011678648,11.535875945890327,6.703799415658199,3.5261809163691393,19.602336582000706,7.907883629730153,17.059369282222338,7.101515126267853,3.4950271405079048,5.6126976744950285,4.563125628938093,14.799143478282309,19.265287460441826,19.58568630040585,15.63377344471478,6.774641551941835,6.324033207028808,5.112474640790763,15.274003852226363,16.176230154035114,10.98942092357967,10.67730294960852,10.239506072192174,4.8893662717277815,7.93309942352029,11.724835048176276,5.508729103581718,4.995308862906204,4.301522865835546,14.577770989911695,10.828764896423174,14.76329199915427,10.23673488130658,4.565435329227656,20.767463616883592,18.1180978054063,1.5338670101755199
D5,17.059423956683826,8.529865378150138,23.3727394304265,14.928500903554367,0.0,5.0101208522614655,4.983426392556904,8.529753890113547,15.030286300518961,7.080751862863954,7.0806495330939985,3.540381306586278,8.680653746683914,12.244167862877095,13.564570020566396,19.177019902312587,4.8532661855541095,4.659085719796549,4.73140400025135,1.8057240021712189,13.012800372583076,9.419439434017672,16.07619408000019,6.230372533301439,2.203817768326092,7.545500233217272,6.849671299203841,8.693920843758603,11.300414424763357,7.202573106363628,5.262267912981538,9.663138779702763,19.729398229489615,18.934798213140297,2.070093659283148,5.890595912351907,0.3125943616056606,6.342957245242015,19.073809595027168,10.477793575155976,4.983134371857326,16.08924918952616
D6,12.061419131918619,12.78057640009881,18.455857084764123,10.125013011678648,5.0101208522614655,0.0,4.469307598846124,3.5403152423860726,10.020165448755519,11.208964911119825,2.2346198094900904,7.926979954353328,3.6930678017306056,7.254858356100614,8.642151160974803,14.230690035517423,7.13258343615482,9.624884821875801,9.740244369906017,6.189422108431359,8.222980667275746,4.413151545234405,12.12293040045379,8.311147097926655,6.051232747865785,4.198572190718769,3.2856840942719656,4.893974771408986,6.291618952083527,2.223797244988207,4.944455674250633,5.313252223107969,15.048720887926075,14.285502344644529,5.414859172963184,4.72622232317988,4.790463593201265,4.672281987564141,14.11446219065701,13.796995425625415,8.149620321087362,11.400657750000153
D7,14.355015782790085,9.641787336462093,20.040080111229376,11.535875945890327,4.983426392556904,4.469307598846124,0.0,6.534187557338389,12.683047114069163,8.081837594016017,5.010130381207292,5.704491211685438,7.255980949968869,9.740224961850895,12.02837180981354,16.06382335039581,3.324977400812651,8.174068225052508,8.759216359917485,4.690902973852901,11.94197023903762,7.698145304987243,11.567293451241246,4.149868782793414,7.100682955915479,8.651089032586903,7.739569000813539,9.35096960167701,9.301198557975036,5.492421051212775,0.4785349230992043,6.035941503183894,15.9066133567573,15.080348152102001,3.5460883806519425,0.9381266056523068,5.032173793130475,1.4943616818489942,16.026882554708507,9.83834419841047,9.849315179775852,12.402205050692483
D8,8.52967006737673,15.853902412656154,14.928352901676044,6.703799415658199,8.529753890113547,3.5403152423860726,6.534187557338389,0.0,6.534125229453308,14.26850932820014,1.5853873746525884,11.208904427417512,1.0449832017888103,3.7163257726024623,5.506046431530033,10.69502356347442,9.759535315172908,13.094713286994478,13.260127701704034,9.561366731180803,5.437684976650799,1.1725353029927186,9.517030626492783,10.684051443506643,9.540756031148893,4.915593524175829,4.32497401320006,4.693145615142569,2.8683696791259976,1.3274617858078916,6.917370317056615,3.0429591407914844,11.685796464064858,10.955277837425749,8.652550128439936,6.264677410358461,8.32143129982424,5.868648644659934,10.57557179491413,16.3692741852476,11.414548304386079,8.071639122712522
D9,2.2345978389372716,22.251176036916494,8.938331587480612,3.5261809163691393,15.030286300518961,10.020165448755519,12.683047114069163,6.534125229453308,0.0,20.67006628247762,8.0818115456522,17.721364332926665,6.388726818214166,2.9439351928242017,2.583316082702239,4.756993266465005,16.00364604783011,19.624108430517854,19.759798045417032,16.093801817906137,3.846404248231687,5.619887708402731,8.6378761736103,16.738987809588952,15.83492410989008,9.466930858961083,9.442390110251912,8.443494104930647,3.73658112135218,7.854184814711232,12.983237016843509,6.967436079812444,7.1763469040395425,6.766070314166168,15.165631433843611,12.17447471590383,14.807291335558196,11.64598868684394,4.543275432482414,22.407688066672335,17.32606709017526,4.775285655178889
D10,22.417663541628123,1.585393084717427,28.07789580582951,19.602336582000706,7.080751862863954,11.208964911119825,8.081837594016017,14.26850932820014,20.67006628247762,0.0,12.683121953756688,3.54037055632644,14.764639179069741,17.73079854276086,19.72730379073291,24.141592145440868,4.810598367865739,4.121191705543541,5.145801287085232,5.327009208450344,19.41526385240418,15.365635633401643,18.993343635171847,4.678845313079315,8.321718635622638,14.530162802696024,13.761599945920624,15.613581808805485,17.129984914900668,13.034182034880775,7.877819163292643,14.11456112218698,23.808711340047566,22.977084708943753,5.818583519483977,8.7794390990744,7.3933261803297325,9.37858787642272,24.10763919297261,3.944972429989828,10.261695507480235,20.39917436200898
